YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,3.1,,1.5,4.7,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,HIS
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.6,,2.8,4.3,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,MRC
2013,2013,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,,2.9,3.7,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2012,2012,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,8.4,8.4,,5.8,11.9,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.2,,1.8,4.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,MRC
2021,2021,NM,New Mexico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,4.5,,4.3,4.8,Overall,Overall,POINT (-106.24058098499967 34.52088095200048),35,MTH,MTH1_0,MEAN,OVERALL,OVR
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.6,2.6,,1.4,3.7,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,WHT
2021,2021,HI,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,11.2,,8.4,14.7,Race/Ethnicity,"White, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH2_0,CRDPREV,RACE,WHT
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3,3,,2.4,3.6,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2012,2012,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,MRC
2011,2011,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,MRC
2017,2017,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.9,12.9,,9.1,18,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.9,,2.3,5.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,MRC
2020,2020,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.3,16.3,,10.7,24.2,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,2.7,4.3,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,OTH
2014,2014,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,WHT
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,2.9,4,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.9,,3.1,4.7,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2014,2014,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.6,,2.5,4.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,MRC
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,4.1,,3.3,4.8,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENF
2013,2013,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,4.2,,2.2,6.2,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,HIS
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.9,,2.5,3.4,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,OVERALL,OVR
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.9,,2.5,3.3,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2016,2016,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.2,12.2,,7.8,18.7,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.7,,2.1,5.2,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,HIS
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,4.7,,3.7,5.7,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.8,4.8,,3.8,5.7,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENF
2014,2014,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,BLK
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,,2.5,4.1,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4,4,,2.5,5.4,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,HIS
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2,2,,1,2.9,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,WHT
2014,2014,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,BLK
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5,5,,4,6.1,Race/Ethnicity,Hispanic,POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,MEAN,RACE,HIS
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,No data available,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,BLK
2018,2018,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,WHT
2013,2013,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,,2.6,4,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.9,,2.4,3.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,OTH
2016,2016,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,BLK
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.7,4.7,,3.4,6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,MRC
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,,3.2,5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,OTH
2013,2013,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,11.2,,7.8,15.8,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,OTH
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.6,1.6,,0.9,2.4,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,WHT
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.7,,2.5,4.8,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,WHT
2015,2015,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.6,2.6,,2,3.2,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.8,,3.3,4.2,Race/Ethnicity,"White, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,MEAN,RACE,WHT
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.8,5.8,,4.1,7.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,MRC
2014,2014,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,3.3,,2.6,4.1,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.9,,1.7,6.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,MRC
2018,2018,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,BLK
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.7,2.7,,1.5,3.9,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,WHT
2013,2013,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,,2.8,3.8,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2021,2021,HI,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.2,14.2,,11,18.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH2_0,CRDPREV,RACE,MRC
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,3.1,,2.5,3.6,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2020,2020,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,3.1,,2.2,4,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.8,,3.3,4.3,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,OVERALL,OVR
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.7,,2.8,4.6,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2013,2013,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,3.2,,2.7,3.8,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,OTH
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.3,2.3,,1.9,2.8,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
2012,2012,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2014,2014,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,2.9,3.9,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2021,2021,HI,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH2_0,CRDPREV,RACE,BLK
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.6,,3.7,5.4,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.8,,2.1,3.4,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2011,2011,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2017,2017,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,23.4,23.4,,13.1,38.2,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,,3.3,4.9,Gender,Female,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2012,2012,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3,3,,2.5,3.4,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2020,2020,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,WHT
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,2.7,4.2,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2018,2018,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,HIS
2014,2014,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,11.2,,7.8,15.8,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2018,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,BLK
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,3.3,3.7,Overall,Overall,POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,MEAN,OVERALL,OVR
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.2,,2.8,3.5,Gender,Male,POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2011,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.9,,2.3,3.4,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,OTH
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.7,,3.4,3.9,Overall,Overall,POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2019,2019,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.6,16.6,,10.1,25.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,MRC
2021,2021,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,3.1,,2.7,3.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH1_0,AGEADJMEAN,RACE,OTH
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,2.7,4,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,OTH
2015,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,WHT
2011,2011,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,WHT
2020,2020,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,4.1,,2.1,6.1,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,WHT
2019,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.8,3.8,,3.1,4.6,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2017,2017,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.2,9.2,,6.2,13.4,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,OTH
2016,2016,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.1,14.1,,9.8,20.1,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,OTH
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.6,,2.9,4.4,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2014,2014,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2016,2016,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2012,2012,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,,,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,WHT
