Year,State,Question,DataValueType,DataValue,Gender
2020,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2020,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2012,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2012,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Female
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Female
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Female
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.0,Female
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Female
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2012,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2012,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2012,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2012,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2017,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2018,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2018,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2019,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2019,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2020,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2020,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2021,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Female
2021,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2011,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2011,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2012,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Female
2012,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Male
2013,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2013,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2014,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2014,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2015,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2015,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2016,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2016,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2017,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2017,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Male
2018,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,Female
2018,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2019,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,Female
2019,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Male
2020,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,Female
2020,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Male
2021,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Female
2021,Kentucky,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Male
2011,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2011,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2012,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2012,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2013,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2013,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2014,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2014,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2015,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2015,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2016,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2016,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2017,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2017,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2018,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2018,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Male
2019,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,Female
2019,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Male
2020,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,Female
2020,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Male
2021,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Female
2021,Louisiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Male
2011,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2011,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2012,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2012,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2013,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2013,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2014,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2014,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2015,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2015,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2016,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2016,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2017,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2017,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2018,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2018,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2019,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2019,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2020,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2020,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2021,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2021,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2011,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2011,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2012,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2012,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2013,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2013,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2014,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2014,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2015,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2015,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2016,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2016,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2017,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2018,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2018,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2019,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2019,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2020,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2020,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2021,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2021,Maryland,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2011,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2011,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2012,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2012,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2013,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2013,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2014,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2014,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2015,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2015,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2016,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2016,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2017,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2017,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2018,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2018,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2019,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2019,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2020,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2020,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2021,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2021,Massachusetts,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2011,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2011,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2012,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2012,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2013,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2013,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2014,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2014,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2015,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2015,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2016,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2016,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2017,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2017,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2018,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2018,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2019,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Female
2019,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2020,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,Female
2020,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2021,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2021,Michigan,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2011,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2011,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2012,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2012,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2013,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2013,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2014,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2014,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2015,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Female
2015,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2016,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2016,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2017,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2017,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2018,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2018,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2019,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2019,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2020,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2020,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2021,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2021,Minnesota,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2011,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2011,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2012,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2012,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2013,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2013,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2014,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2014,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2015,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2015,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2016,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2016,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2017,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,Female
2017,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2018,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2018,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Male
2019,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Female
2019,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Male
2020,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2020,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2021,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2021,Mississippi,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2011,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2011,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2012,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2012,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2013,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2013,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2014,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2014,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2015,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2015,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2016,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2016,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2017,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2017,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2018,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2018,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2019,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2019,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2020,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Female
2020,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2021,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2021,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2011,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2011,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2012,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2012,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2013,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2013,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2014,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2014,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2015,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2015,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2016,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2016,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2017,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2017,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2018,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2018,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2019,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2019,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2020,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2020,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2021,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2021,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2011,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2011,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Male
2012,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2012,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2013,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2013,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2014,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2014,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2015,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2015,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2016,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2016,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2017,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2017,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2018,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2018,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2019,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2019,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2020,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2020,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2021,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2021,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2011,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2011,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2012,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2012,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2013,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2013,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2014,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2014,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2015,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2015,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
