Year,State,Question,DataValueType,DataValue,Race/Ethnicity
2016,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.0,"White, non-Hispanic"
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Hispanic
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Multiracial, non-Hispanic"
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"Other, non-Hispanic"
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,"White, non-Hispanic"
2018,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Hispanic
2018,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"Other, non-Hispanic"
2018,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,1.6,"White, non-Hispanic"
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Multiracial, non-Hispanic"
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Other, non-Hispanic"
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Hispanic
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Multiracial, non-Hispanic"
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Other, non-Hispanic"
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
2021,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,Hispanic
2021,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"Other, non-Hispanic"
2021,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Hispanic
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Multiracial, non-Hispanic"
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,1.9,"Other, non-Hispanic"
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"White, non-Hispanic"
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Hispanic
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Multiracial, non-Hispanic"
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.1,"Other, non-Hispanic"
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,"White, non-Hispanic"
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Black, non-Hispanic"
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Hispanic
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Multiracial, non-Hispanic"
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.1,"Other, non-Hispanic"
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"White, non-Hispanic"
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Hispanic
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Multiracial, non-Hispanic"
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.1,"Other, non-Hispanic"
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"White, non-Hispanic"
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Hispanic
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Multiracial, non-Hispanic"
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,"Other, non-Hispanic"
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,"White, non-Hispanic"
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Hispanic
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"Multiracial, non-Hispanic"
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.1,"Other, non-Hispanic"
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"White, non-Hispanic"
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,"Black, non-Hispanic"
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Multiracial, non-Hispanic"
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"Other, non-Hispanic"
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Black, non-Hispanic"
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Hispanic
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Multiracial, non-Hispanic"
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Other, non-Hispanic"
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Hispanic
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Multiracial, non-Hispanic"
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,"Other, non-Hispanic"
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Black, non-Hispanic"
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Hispanic
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"Multiracial, non-Hispanic"
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"Other, non-Hispanic"
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"White, non-Hispanic"
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Hispanic
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.7,"Multiracial, non-Hispanic"
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Other, non-Hispanic"
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Hispanic
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,"Multiracial, non-Hispanic"
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Other, non-Hispanic"
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2014,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2014,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Multiracial, non-Hispanic"
2014,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,"Multiracial, non-Hispanic"
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Other, non-Hispanic"
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Hispanic
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.8,"Multiracial, non-Hispanic"
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Other, non-Hispanic"
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2017,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Hispanic
2017,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Other, non-Hispanic"
2017,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"White, non-Hispanic"
2018,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2018,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Other, non-Hispanic"
2018,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"White, non-Hispanic"
2019,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Hispanic
2019,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,"Other, non-Hispanic"
2019,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"White, non-Hispanic"
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.6,"Multiracial, non-Hispanic"
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Other, non-Hispanic"
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Hispanic
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.5,"Multiracial, non-Hispanic"
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Other, non-Hispanic"
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"White, non-Hispanic"
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,"Black, non-Hispanic"
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Multiracial, non-Hispanic"
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Black, non-Hispanic"
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Multiracial, non-Hispanic"
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Other, non-Hispanic"
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"White, non-Hispanic"
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Black, non-Hispanic"
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,"Multiracial, non-Hispanic"
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.1,"Other, non-Hispanic"
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"White, non-Hispanic"
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Black, non-Hispanic"
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Multiracial, non-Hispanic"
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Other, non-Hispanic"
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Hispanic
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Multiracial, non-Hispanic"
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,1.3,"Other, non-Hispanic"
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Black, non-Hispanic"
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Other, non-Hispanic"
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Black, non-Hispanic"
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"Black, non-Hispanic"
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Hispanic
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.4,"Multiracial, non-Hispanic"
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"Other, non-Hispanic"
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
2020,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,"Black, non-Hispanic"
2020,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2020,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Other, non-Hispanic"
2021,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Black, non-Hispanic"
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Hispanic
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Multiracial, non-Hispanic"
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Other, non-Hispanic"
2011,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"White, non-Hispanic"
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Hispanic
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.0,"Multiracial, non-Hispanic"
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Other, non-Hispanic"
2013,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"White, non-Hispanic"
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"Black, non-Hispanic"
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Hispanic
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.3,"Multiracial, non-Hispanic"
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"Other, non-Hispanic"
2014,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"White, non-Hispanic"
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Black, non-Hispanic"
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Hispanic
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.8,"Multiracial, non-Hispanic"
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,"Other, non-Hispanic"
2015,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"White, non-Hispanic"
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Black, non-Hispanic"
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Multiracial, non-Hispanic"
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Other, non-Hispanic"
2016,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"White, non-Hispanic"
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Hispanic
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.4,"Multiracial, non-Hispanic"
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"Other, non-Hispanic"
2017,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"White, non-Hispanic"
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"Black, non-Hispanic"
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Hispanic
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.9,"Multiracial, non-Hispanic"
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Other, non-Hispanic"
2018,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"White, non-Hispanic"
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Black, non-Hispanic"
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Hispanic
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.8,"Multiracial, non-Hispanic"
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,"Other, non-Hispanic"
2019,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"White, non-Hispanic"
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Hispanic
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.0,"Multiracial, non-Hispanic"
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Other, non-Hispanic"
2020,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"White, non-Hispanic"
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,"Black, non-Hispanic"
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Hispanic
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.0,"Multiracial, non-Hispanic"
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,"Other, non-Hispanic"
2021,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"White, non-Hispanic"
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Black, non-Hispanic"
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Hispanic
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,"Multiracial, non-Hispanic"
2011,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"White, non-Hispanic"
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Black, non-Hispanic"
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"Other, non-Hispanic"
2013,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"White, non-Hispanic"
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Black, non-Hispanic"
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Hispanic
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Multiracial, non-Hispanic"
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Other, non-Hispanic"
2014,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"White, non-Hispanic"
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Black, non-Hispanic"
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Hispanic
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Other, non-Hispanic"
2015,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Black, non-Hispanic"
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Hispanic
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Other, non-Hispanic"
2016,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Black, non-Hispanic"
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Hispanic
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Multiracial, non-Hispanic"
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,"Other, non-Hispanic"
2017,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.4,"Black, non-Hispanic"
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.5,Hispanic
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.0,"Multiracial, non-Hispanic"
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Other, non-Hispanic"
2018,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"White, non-Hispanic"
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Hispanic
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.1,"Multiracial, non-Hispanic"
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"Other, non-Hispanic"
2019,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"White, non-Hispanic"
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,"Black, non-Hispanic"
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.7,"Multiracial, non-Hispanic"
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Other, non-Hispanic"
2020,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"White, non-Hispanic"
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"Black, non-Hispanic"
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.3,"Multiracial, non-Hispanic"
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Other, non-Hispanic"
2021,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"White, non-Hispanic"
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Black, non-Hispanic"
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Hispanic
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Multiracial, non-Hispanic"
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Other, non-Hispanic"
2011,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Black, non-Hispanic"
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Hispanic
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2013,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Black, non-Hispanic"
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Hispanic
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.6,"Multiracial, non-Hispanic"
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Other, non-Hispanic"
2014,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"White, non-Hispanic"
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.8,"Multiracial, non-Hispanic"
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2015,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,"White, non-Hispanic"
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Black, non-Hispanic"
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"Multiracial, non-Hispanic"
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Other, non-Hispanic"
2016,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2017,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2017,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Hispanic
2017,Kansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.3,"Multiracial, non-Hispanic"
