Year,StateAbbr,State,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.8,4.4,5.3,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,2.9,4.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.2,3.9,4.4,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,2.9,4.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,2.7,5.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,2.1,4.6,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.3,3.5,7.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.6,4.0,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.5,4.2,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.7,8.4,21.6,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.2,3.9,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,4.0,4.6,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.0,4.9,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.1,5.2,Race/Ethnicity,"White, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.4,3.9,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,3.7,5.0,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.7,4.5,8.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,3.7,4.6,Race/Ethnicity,"White, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.3,4.7,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,24.1,13.0,40.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,31.0,16.1,51.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.6,8.3,24.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,1.8,4.3,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,2.2,4.6,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,2.7,5.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.8,3.3,6.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.3,5.0,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,3.6,5.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,18.5,16.0,21.3,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.0,4.3,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.1,4.2,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,3.7,5.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.1,3.9,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,2.5,4.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.8,8.6,15.8,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,2.9,3.7,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.4,12.6,16.5,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.9,3.4,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.3,10.4,21.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.2,4.5,5.9,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.2,4.5,11.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.0,4.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.3,4.1,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.5,4.2,4.9,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.4,4.3,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.5,3.9,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.7,4.4,5.0,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.1,3.7,8.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.8,9.3,20.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,1.7,4.1,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.7,4.7,8.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,4.3,5.2,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,2.9,4.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.2,3.9,4.5,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.4,5.4,15.7,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.9,8.6,21.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.4,4.8,8.0,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,2.8,4.3,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.5,3.7,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,3.8,4.3,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,2.3,4.7,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.8,10.7,22.6,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,4.0,4.5,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.3,3.9,6.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.9,4.0,5.7,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.8,4.0,7.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.1,4.4,5.8,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.0,9.6,17.5,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.3,8.1,15.5,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,3.8,4.4,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,3.6,4.3,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.0,4.2,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.3,3.4,5.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,1.7,2.9,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.5,4.2,4.9,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.6,11.6,18.3,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.0,4.7,Race/Ethnicity,"Black, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2019,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.2,14.4,20.3,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,2.8,3.5,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,3.7,5.1,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,2.9,4.1,Gender,Male,POINT (-75.57774116799965 39.008830667000495)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,2.8,3.5,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.3,5.0,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,18.4,15.4,21.7,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.2,12.3,18.7,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.6,4.6,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.2,5.0,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.7,4.3,9.0,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.7,8.7,18.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.2,4.6,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,2.7,5.3,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.1,4.9,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.6,4.2,5.1,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,2.8,4.2,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.3,9.7,20.4,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.1,4.7,5.5,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,4.1,6.7,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,2.6,3.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.6,4.9,8.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.6,1.5,3.6,Race/Ethnicity,"Other, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2014,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,2.4,4.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.8,7.9,14.6,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2012,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.8,2.4,5.3,Race/Ethnicity,"Other, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2020,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,2.9,5.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.3,4.1,Gender,Male,POINT (-81.92896053899966 28.932040377000476)
2017,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,3.7,4.3,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.3,4.0,4.5,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.7,4.2,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.1,6.8,14.8,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.5,3.7,7.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2019,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.2,4.9,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.7,4.6,8.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.4,3.7,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,2.8,4.0,Gender,Male,POINT (-75.57774116799965 39.008830667000495)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,4.1,4.8,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2016,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.8,13.0,16.7,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.6,12.3,17.4,Overall,Overall,POINT (-81.92896053899966 28.932040377000476)
2020,DE,Delaware,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.9,13.4,21.1,Race/Ethnicity,"White, non-Hispanic",POINT (-75.57774116799965 39.008830667000495)
2015,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.4,6.2,16.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2018,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,4.3,5.1,Gender,Female,POINT (-81.92896053899966 28.932040377000476)
2015,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.3,4.0,4.7,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2013,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.5,15.0,20.5,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476)
2017,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.6,3.8,9.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2021,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,4.5,5.1,Overall,Overall,POINT (-83.62758034599966 32.83968109300048)
2019,GA,Georgia,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,19.1,15.9,22.8,Overall,Overall,POINT (-83.62758034599966 32.83968109300048)
2011,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.6,4.3,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2019,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,2.3,4.6,Race/Ethnicity,"Other, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2013,GA,Georgia,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.4,9.0,16.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2013,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.0,3.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2015,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,2.5,7.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2018,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.2,3.8,Gender,Male,POINT (-83.62758034599966 32.83968109300048)
2013,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.3,4.0,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2016,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,2.8,3.7,Gender,Male,POINT (-83.62758034599966 32.83968109300048)
2018,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.2,3.9,4.4,Overall,Overall,POINT (-83.62758034599966 32.83968109300048)
2011,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,3.5,4.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2013,GA,Georgia,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.9,10.1,14.1,Overall,Overall,POINT (-83.62758034599966 32.83968109300048)
2016,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,2.8,3.7,Gender,Male,POINT (-83.62758034599966 32.83968109300048)
2020,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,2.8,5.7,Race/Ethnicity,"Other, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2019,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.1,4.7,5.5,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2021,GU,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,2.2,4.4,Gender,Male,POINT (144.793731 13.444304)
2011,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.9,4.5,Gender,Female,POINT (-83.62758034599966 32.83968109300048)
2019,GA,Georgia,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.3,12.8,23.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-83.62758034599966 32.83968109300048)
2017,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.8,4.6,Gender,Female,POINT (-83.62758034599966 32.83968109300048)
2021,GU,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.8,3.2,10.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304)
